category,segment,product,productid,iscompetehide,manufacturerid
Urban,Convenience,Maximus UC-01,536,N,7
Urban,Convenience,Maximus UC-02,537,N,7
Urban,Convenience,Maximus UC-03,538,N,7
Urban,Convenience,Maximus UC-04,539,N,7
Urban,Convenience,Maximus UC-05,540,N,7
Urban,Convenience,Maximus UC-06,541,N,7
Urban,Convenience,Maximus UC-07,542,N,7
Urban,Convenience,Maximus UC-08,543,N,7
Urban,Convenience,Maximus UC-09,544,N,7
Urban,Convenience,Maximus UC-10,545,N,7
Urban,Convenience,Maximus UC-11,546,N,7
Urban,Convenience,Maximus UC-12,547,N,7
Urban,Convenience,Maximus UC-13,548,N,7
Urban,Convenience,Maximus UC-14,549,N,7
Urban,Convenience,Maximus UC-15,550,N,7
Urban,Convenience,Maximus UC-16,551,N,7
Urban,Convenience,Maximus UC-17,552,N,7
Urban,Convenience,Maximus UC-18,553,N,7
Urban,Convenience,Maximus UC-19,554,N,7
Urban,Convenience,Maximus UC-20,555,N,7
Urban,Convenience,Maximus UC-21,556,N,7
Urban,Convenience,Maximus UC-22,557,N,7
Urban,Convenience,Maximus UC-23,558,N,7
Urban,Convenience,Maximus UC-24,559,N,7
Urban,Convenience,Maximus UC-25,560,N,7
Urban,Convenience,Maximus UC-26,561,N,7
Urban,Convenience,Maximus UC-27,562,N,7
Urban,Convenience,Maximus UC-28,563,N,7
Urban,Convenience,Maximus UC-29,564,N,7
Urban,Convenience,Maximus UC-30,565,N,7
Urban,Convenience,Maximus UC-31,566,N,7
Urban,Convenience,Maximus UC-32,567,N,7
Urban,Convenience,Maximus UC-33,568,N,7
Urban,Convenience,Maximus UC-34,569,N,7
Urban,Convenience,Maximus UC-35,570,N,7
Urban,Convenience,Maximus UC-36,571,N,7
Urban,Convenience,Maximus UC-37,572,N,7
Urban,Convenience,Maximus UC-38,573,N,7
Urban,Convenience,Maximus UC-39,574,N,7
Urban,Convenience,Maximus UC-40,575,N,7
Urban,Convenience,Maximus UC-41,576,N,7
Urban,Convenience,Maximus UC-42,577,N,7
Urban,Convenience,Maximus UC-43,578,N,7
Urban,Convenience,Maximus UC-44,579,N,7
Urban,Convenience,Maximus UC-45,580,N,7
Urban,Convenience,Maximus UC-46,581,N,7
Urban,Convenience,Maximus UC-47,582,N,7
Urban,Convenience,Maximus UC-48,583,N,7
Urban,Convenience,Maximus UC-49,584,N,7
Urban,Convenience,Maximus UC-50,585,N,7
Urban,Convenience,Maximus UC-51,586,N,7
Urban,Convenience,Maximus UC-52,587,N,7
Urban,Convenience,Maximus UC-53,588,N,7
Urban,Convenience,Maximus UC-54,589,N,7
Urban,Convenience,Maximus UC-55,590,N,7
Urban,Convenience,Maximus UC-56,591,N,7
Urban,Convenience,Maximus UC-57,592,N,7
Urban,Convenience,Maximus UC-58,593,N,7
Urban,Convenience,Maximus UC-59,594,N,7
Urban,Convenience,Maximus UC-60,595,N,7
Urban,Convenience,Maximus UC-61,596,N,7
Urban,Convenience,Maximus UC-62,597,N,7
Urban,Convenience,Maximus UC-63,598,N,7
Urban,Convenience,Maximus UC-64,599,N,7
Urban,Convenience,Maximus UC-65,600,N,7
Urban,Convenience,Maximus UC-66,601,N,7
Urban,Convenience,Maximus UC-67,602,N,7
Urban,Convenience,Maximus UC-68,603,N,7
Urban,Convenience,Maximus UC-69,604,N,7
Urban,Convenience,Maximus UC-70,605,N,7
Urban,Convenience,Maximus UC-71,606,N,7
Urban,Convenience,Maximus UC-72,607,N,7
Urban,Convenience,Maximus UC-73,608,N,7
Urban,Convenience,Maximus UC-74,609,N,7
Urban,Convenience,Maximus UC-75,610,N,7
Urban,Convenience,Maximus UC-76,611,N,7
Urban,Convenience,Maximus UC-77,612,N,7
Urban,Convenience,Maximus UC-78,613,N,7
Urban,Convenience,Maximus UC-79,614,N,7
Urban,Convenience,Maximus UC-80,615,N,7
Urban,Convenience,Maximus UC-81,616,N,7
Urban,Convenience,Maximus UC-82,617,N,7
Urban,Convenience,Maximus UC-83,618,N,7
Urban,Convenience,Maximus UC-84,619,N,7
Urban,Convenience,Maximus UC-85,620,N,7
Urban,Convenience,Maximus UC-86,621,N,7
Urban,Convenience,Maximus UC-87,622,N,7
Urban,Convenience,Maximus UC-88,623,N,7
Urban,Convenience,Maximus UC-89,624,N,7
Urban,Convenience,Maximus UC-90,625,N,7
Urban,Convenience,Maximus UC-91,626,N,7
Urban,Convenience,Maximus UC-92,627,N,7
Urban,Convenience,Maximus UC-93,628,N,7
Urban,Convenience,Maximus UC-94,629,N,7
Urban,Convenience,Maximus UC-95,630,N,7
Urban,Convenience,Maximus UC-96,631,N,7
Urban,Convenience,Maximus UC-97,632,N,7
Urban,Convenience,Maximus UC-98,633,N,7
Urban,Convenience,Maximus UC-99,634,N,7
Urban,Convenience,Maximus UC-00,635,N,7
Urban,Convenience,Maximus UC-01,636,N,7
Urban,Convenience,Maximus UC-02,637,N,7
Urban,Convenience,Maximus UC-03,638,N,7
Urban,Convenience,Maximus UC-04,639,N,7
Urban,Convenience,Maximus UC-05,640,N,7
Urban,Convenience,Maximus UC-06,641,N,7
Urban,Convenience,Maximus UC-07,642,N,7
Urban,Convenience,Maximus UC-08,643,N,7
Urban,Convenience,Maximus UC-09,644,N,7
Urban,Convenience,Maximus UC-10,645,N,7
Urban,Convenience,Maximus UC-11,646,N,7
Urban,Convenience,Maximus UC-12,647,N,7
Urban,Convenience,Maximus UC-13,648,N,7
